"polish"	"indpol_hindi"	"indpol_marathi"	"hindi_meaning"	"marathi_meaning"	"english_meaning"	"pos"	"level"
"20"	"20"	"20"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: twenty]"	"twenty"	"noun"	"A1"
"a zatem"	"अ ज़अतेम"	"अ ज़अतएम"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: thus]"	"thus"	"noun"	"A2"
"absolutnie"	"अबसोलुतनिे"	"अबसओलउतनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: absolutely]"	"absolutely"	"noun"	"B2"
"aby móc"	"अबि मउत्स"	"अबइ मउत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to can]"	"to can"	"noun"	"A1"
"aby odnieść sukces"	"अबि ोदनिेशच सुकत्सेस"	"अबइ ओदनिएशच सउकत्सएस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to succeed]"	"to succeed"	"noun"	"B1"
"adresować"	"अदरेसोवअच"	"अदरएसओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to address]"	"to address"	"verb"	"A2"
"akceptować"	"अकत्सेपतोवअच"	"अकत्सएपतओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to accept]"	"to accept"	"verb"	"A2"
"akcja"	"अकत्सयअ"	"अकत्सयअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: action]"	"action"	"noun"	"A2"
"Aktualności"	"अकतुअलनोशचि"	"अकतउअलनओशचि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: news]"	"news"	"noun"	"A2"
"aktywność"	"अकतिवनोशच"	"अकतइवनओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: activity]"	"activity"	"noun"	"B2"
"ale"	"अले"	"अलए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: but]"	"but"	"noun"	"A1"
"Ameryka"	"अमेरिकअ"	"अमएरइकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: America]"	"America"	"noun"	"B1"
"amerykański"	"अमेरिकअञसकि"	"अमएरइकअञसकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: American]"	"American"	"noun"	"A2"
"angażować się"	"अनगअझोवअच शिएं"	"अनगअझओवअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to engage]"	"to engage"	"noun"	"B1"
"Anglia"	"अनगलिअ"	"अनगलइअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: England]"	"England"	"noun"	"A2"
"ani"	"अनि"	"अनि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: nor]"	"nor"	"noun"	"A2"
"anioł"	"अनिोव"	"अनिओव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: angel]"	"angel"	"noun"	"B2"
"ansvarlig"	"अनसवअरलिग"	"अनसवअरलइग"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: responsible]"	"responsible"	"noun"	"C1"
"apartament"	"अपअरतअमेनत"	"अपअरतअमएनत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: apartment]"	"apartment"	"noun"	"A2"
"arkusz"	"अरकुश"	"अरकउश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: sheet]"	"sheet"	"noun"	"B1"
"armia"	"अरमिअ"	"अरमइअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: army]"	"army"	"noun"	"B1"
"artykuł"	"अरतिकुव"	"अरतइकउव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: article]"	"article"	"noun"	"B2"
"artysta"	"अरतिसतअ"	"अरतइसतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: artist]"	"artist"	"noun"	"A1"
